%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vector.x,field.vector.y,field.vector.z
1661321101078303580,35733,1661321101078303580,imu,-0.539351,-0.021257,-0.867627
1661321101083211281,35734,1661321101083211281,imu,-0.539466,-0.021433,-0.867483
1661321101088887159,35735,1661321101088887159,imu,-0.539962,-0.021219,-0.867041
1661321101093298014,35736,1661321101093298014,imu,-0.539887,-0.020956,-0.866952
1661321101098240706,35737,1661321101098240706,imu,-0.539642,-0.021757,-0.866982
1661321101106976302,35738,1661321101106976302,imu,-0.539329,-0.022601,-0.867253
1661321101108497221,35739,1661321101108497221,imu,-0.538864,-0.023156,-0.867348
1661321101113308892,35740,1661321101113308892,imu,-0.538616,-0.023117,-0.86739
1661321101118222110,35741,1661321101118222110,imu,-0.538899,-0.022789,-0.867276
1661321101123307416,35742,1661321101123307416,imu,-0.539106,-0.02272,-0.867256
1661321101128314640,35743,1661321101128314640,imu,-0.539019,-0.02272,-0.866993
1661321101133395127,35744,1661321101133395127,imu,-0.539409,-0.022848,-0.867009
1661321101138351228,35745,1661321101138351228,imu,-0.539562,-0.022773,-0.866866
1661321101146275555,35746,1661321101146275555,imu,-0.539802,-0.022316,-0.867444
1661321101148285918,35747,1661321101148285918,imu,-0.540181,-0.022161,-0.867333
1661321101153212266,35748,1661321101153212266,imu,-0.539751,-0.022335,-0.867255
1661321101158323972,35749,1661321101158323972,imu,-0.538974,-0.021901,-0.867226
1661321101163261006,35750,1661321101163261006,imu,-0.538763,-0.021876,-0.867286
1661321101168206631,35751,1661321101168206631,imu,-0.538683,-0.022097,-0.867752
1661321101173353257,35752,1661321101173353257,imu,-0.537982,-0.022267,-0.867789
1661321101178330868,35753,1661321101178330868,imu,-0.538098,-0.022333,-0.867728
1661321101185925688,35754,1661321101185925688,imu,-0.538517,-0.021893,-0.867903
1661321101188455595,35755,1661321101188455595,imu,-0.538105,-0.021808,-0.867788
1661321101193346185,35756,1661321101193346185,imu,-0.537954,-0.021732,-0.86756
1661321101198303124,35757,1661321101198303124,imu,-0.537372,-0.021753,-0.867811
1661321101203261739,35758,1661321101203261739,imu,-0.537219,-0.021676,-0.867901
1661321101208622845,35759,1661321101208622845,imu,-0.536779,-0.021851,-0.867804
1661321101213271647,35760,1661321101213271647,imu,-0.536419,-0.022022,-0.868054
1661321101218217481,35761,1661321101218217481,imu,-0.537351,-0.02248,-0.867962
1661321101223850268,35762,1661321101223850268,imu,-0.538214,-0.022714,-0.868304
1661321101228298907,35763,1661321101228298907,imu,-0.538969,-0.023149,-0.868691
1661321101233299286,35764,1661321101233299286,imu,-0.538194,-0.02303,-0.868637
1661321101238452198,35765,1661321101238452198,imu,-0.538078,-0.02278,-0.86835
1661321101243323163,35766,1661321101243323163,imu,-0.538578,-0.022897,-0.868449
1661321101248310971,35767,1661321101248310971,imu,-0.538836,-0.023368,-0.868331
1661321101253210291,35768,1661321101253210291,imu,-0.538716,-0.023901,-0.868492
1661321101263113902,35769,1661321101263113902,imu,-0.5387,-0.023675,-0.868615
1661321101263504800,35770,1661321101263504800,imu,-0.538514,-0.023212,-0.868505
1661321101268278547,35771,1661321101268278547,imu,-0.538875,-0.023513,-0.868805
1661321101273400869,35772,1661321101273400869,imu,-0.539017,-0.023447,-0.868977
1661321101278281541,35773,1661321101278281541,imu,-0.540082,-0.023277,-0.868831
1661321101283241414,35774,1661321101283241414,imu,-0.540346,-0.023429,-0.868779
1661321101288216441,35775,1661321101288216441,imu,-0.53926,-0.023279,-0.868758
1661321101293295531,35776,1661321101293295531,imu,-0.539183,-0.023507,-0.869014
1661321101302209570,35777,1661321101302209570,imu,-0.539164,-0.023347,-0.869264
1661321101303359985,35778,1661321101303359985,imu,-0.539558,-0.02342,-0.869151
1661321101308398568,35779,1661321101308398568,imu,-0.540481,-0.023626,-0.869628
1661321101313283012,35780,1661321101313283012,imu,-0.540722,-0.023422,-0.86952
1661321101318220256,35781,1661321101318220256,imu,-0.540629,-0.023139,-0.869094
1661321101323337060,35782,1661321101323337060,imu,-0.540736,-0.023424,-0.869041
1661321101328288202,35783,1661321101328288202,imu,-0.540728,-0.022432,-0.868552
1661321101333232499,35784,1661321101333232499,imu,-0.540779,-0.02238,-0.868261
1661321101341238610,35785,1661321101341238610,imu,-0.540431,-0.022348,-0.868018
1661321101343359530,35786,1661321101343359530,imu,-0.540304,-0.022233,-0.867815
1661321101348310463,35787,1661321101348310463,imu,-0.539868,-0.022105,-0.867959
1661321101353244354,35788,1661321101353244354,imu,-0.539475,-0.021876,-0.86782
1661321101358333920,35789,1661321101358333920,imu,-0.538815,-0.021517,-0.867968
1661321101365646304,35790,1661321101365646304,imu,-0.538541,-0.021459,-0.868224
1661321101368236554,35791,1661321101368236554,imu,-0.539244,-0.021115,-0.869003
1661321101373351193,35792,1661321101373351193,imu,-0.539422,-0.020602,-0.868943
1661321101383500084,35793,1661321101383500084,imu,-0.539328,-0.020577,-0.868814
1661321101383949718,35794,1661321101383949718,imu,-0.539192,-0.020433,-0.868611
1661321101388274180,35795,1661321101388274180,imu,-0.53918,-0.019649,-0.868504
1661321101393525008,35796,1661321101393525008,imu,-0.539103,-0.019267,-0.868418
1661321101398262997,35797,1661321101398262997,imu,-0.539027,-0.019617,-0.868385
1661321101403276925,35798,1661321101403276925,imu,-0.539422,-0.019898,-0.868424
1661321101408333247,35799,1661321101408333247,imu,-0.539805,-0.01972,-0.868488
1661321101413276916,35800,1661321101413276916,imu,-0.540199,-0.019865,-0.868645
